SCES-50760                       4243                 1747497214          
20060210-142424                  5888                 1747685574          
SCED-53990                       125                  1747511282          
SCES-53326                       3336                 1747519471          
SLES-54490                       8091                 1747772966          
SLES-54439                       95                   1747573725          
